Semana,Fecha,Dia,Mes_Año,Pilar,Tipo_Contenido,Formato,Hook,Caption,Hashtags,CTA,Persona_Objetivo,Notas_Diseño
1,2026-05-05,Lunes,Mayo 2026,Presentación de marca,Introducción a Nivva,Post estático,"¿Cuánto vas a pagar este mes? Si no lo sabés de memoria, Nivva te lo muestra.","Nivva es la app gratuita para registrar tus egresos, ingresos e inversiones — todo desde tu celular, sin que tus datos salgan de tu dispositivo.

Sin suscripciones. Sin cuentas. Solo vos y tus registros.

Probala en el link de la bio 👇","#Nivva #finanzaspersonales #controlfinanciero #egresos #deudas #Argentina #appgratis","Probala gratis → link en bio","Ana / Claudia","Logo Nivva centrado sobre fondo crema. Mockup de pantalla de egresos a la derecha. Acento teal #3D8F8F."
1,2026-05-07,Miércoles,Mayo 2026,Funcionalidad destacada,Cómo registrar un egreso,Carrusel (3 slides),"De 0 a 'sé exactamente lo que debo' en 3 pasos","Slide 1: Agregá tus egresos con acreedor, monto y fecha de vencimiento.
Slide 2: Navegá entre meses para ver lo que viene.
Slide 3: Mirá tu resumen: total a pagar, por moneda (ARS y USD).

Sin complicaciones. Sin formularios interminables.","#Nivva #finanzaspersonales #egresos #cuotas #presupuesto #Argentina","Guardá este post para acordarte 💾","Facundo","Captura de pantalla real con número de paso overlay. Fondo oscuro de la app + texto blanco. Último slide con logo Nivva."
1,2026-05-09,Viernes,Mayo 2026,Identificación con el usuario,Relatable — confiar en la memoria,Post estático,"Confiar en la memoria para recordar los vencimientos es como... 🫠","'Sí, sí, me acuerdo que vencía el 10... o era el 15?'

Si te pasó, no estás solo/a. El 27 % de las personas usa la memoria como único método de control financiero.

Nivva te avisa antes de que venza — para que no te agarre por sorpresa.","#finanzaspersonales #vencimientos #recordatorios #Nivva #Argentina #cuotas","¿Te pasó? Contanos en los comentarios 👇","Facundo / Claudia","Ilustración o meme simple: persona mirando el calendario confundida. Texto overlay. Paleta crema/teal."
2,2026-05-12,Lunes,Mayo 2026,Funcionalidad destacada,Alta rápida de deuda,Reel (15-30 seg),"Registrá una deuda en menos de 30 segundos","Con Nivva podés cargar:
✔️ Acreedor
✔️ Monto en ARS o USD
✔️ Fecha de vencimiento
✔️ Cuántas cuotas quedan

Sin complicaciones. Sin pasos de más.","#Nivva #finanzas #deudas #ARS #USD #controldedeudas #Argentina","Probalo vos mismo → link en bio","Ana / Facundo","Screen recording del formulario de alta de deuda. Velocidad real o ligeramente acelerada. Música suave de fondo. Caption en el video."
2,2026-05-14,Miércoles,Mayo 2026,Educación financiera simple,Egreso fijo vs variable,Carrusel (2 slides),"¿Egreso fijo o variable? La diferencia cambia todo","📌 Egreso fijo: monto constante todos los meses. Alquiler, cuota del seguro, servicio de streaming.

📌 Egreso variable: monto que cambia. La boleta de luz, el super, salir a comer.

Registrar los fijos primero te da una base sólida para planificar. Nivva te ayuda a hacerlo.","#finanzaspersonales #educacionfinanciera #egresos #Nivva #Argentina #presupuesto","Guardá para tenerlo de referencia 💡","Ana / Claudia","Infográfico de dos columnas: Fijo (ícono ancla) vs Variable (ícono ola). Colores teal y gris. Último slide con logo Nivva."
2,2026-05-16,Viernes,Mayo 2026,Funcionalidad destacada,Recordatorios de vencimientos,Post estático,"Que el vencimiento no te agarre de sorpresa 🔔","Nivva te manda un recordatorio antes de que venza tu próximo pago.

Sin spam. Sin interrupciones. Solo cuando importa.

Activá las notificaciones y nunca más llegues tarde a un pago.","#Nivva #recordatorios #vencimientos #finanzas #notificaciones #Argentina","¿Tenés activadas las notificaciones? → link en bio","Ana / Claudia","Captura del panel de vencimientos próximos. Overlay con ícono de campana teal. Fondo oscuro de la app."
3,2026-05-19,Lunes,Mayo 2026,Funcionalidad destacada,Registro de ingresos,Carrusel (2 slides),"No solo lo que debés — también lo que ganás","Además de tus egresos, con Nivva podés registrar tus ingresos del mes.

Sueldo, freelance, changas, alquileres — lo que sea.

Así podés ver tu balance real: cuánto entra, cuánto sale, qué te queda.","#Nivva #ingresos #balance #finanzaspersonales #Argentina #freelance","¿Registrás tus ingresos? Contanos cómo lo hacés 👇","Ana / Facundo","Slide 1: mockup pantalla Ingresos. Slide 2: mockup balance (ingresos - egresos). Paleta teal/crema."
3,2026-05-21,Miércoles,Mayo 2026,Educación financiera simple,Cómo calcular el balance mensual,Post estático,"Ingresos − Egresos = lo que realmente te queda","Suena obvio, pero el 49 % de las personas no lleva ningún registro.

Saber cuánto te sobra (o cuánto te falta) al final del mes no es magia — es una resta.

Nivva la hace por vos.","#finanzaspersonales #balance #educacionfinanciera #Nivva #Argentina #control","Empezá a registrar hoy → link en bio","Facundo / Claudia","Fórmula visual minimalista: INGRESOS - EGRESOS = BALANCE. Colores teal y negro. Logo Nivva al pie."
3,2026-05-23,Viernes,Mayo 2026,Privacidad y confianza,Datos locales en el dispositivo,Post estático,"Tus datos financieros no son de nadie más 🔐","Con Nivva, tus datos se guardan en tu dispositivo.

Nada en la nube. Ningún servidor externo. Cero riesgo de que alguien más vea tu información.

Vos controlás todo.","#Nivva #privacidad #seguridaddigital #finanzaspersonales #datos #Argentina","¿La privacidad importa? Compartilo con quien lo necesita 🔐","Ana / Claudia / Facundo","Ícono de escudo/candado sobre fondo crema. Texto minimalista teal. Sin capturas de pantalla — solo concepto."
4,2026-05-26,Lunes,Mayo 2026,Funcionalidad destacada,Módulo de inversiones,Carrusel (3 slides),"¿Invertís? Llevá el registro de todo en un solo lugar","Además de egresos e ingresos, Nivva tiene una sección de Inversiones.

Registrá plazo fijo, cripto, dólares, acciones — lo que sea.

Ve el total invertido por moneda y seguí cómo evoluciona con cada nuevo valor que cargás.","#Nivva #inversiones #finanzaspersonales #plazoFijo #Argentina #ahorro #cripto","¿Ya usás la sección de inversiones? → link en bio","Ana","Slide 1: intro concepto. Slide 2: mockup pantalla Inversiones. Slide 3: detalle de valores. Último slide CTA con logo."
4,2026-05-28,Miércoles,Mayo 2026,Identificación con el usuario,Relatable — fin de mes,Reel (15 seg),"'¿A dónde fueron tus gastos?' — Historia universal","Fin de mes. Revisás la cuenta y no entendés nada.

La tarjeta, el alquiler, la luz, las cuotas de no-sé-qué...

No es que gastaste de más — es que no lo tenías registrado.

Nivva es el primer paso para empezar a saber.","#Nivva #findemes #finanzaspersonales #Argentina #gastosdelmes","¿Lo viviste? Dale ❤️ si te pasó","Facundo / Claudia","Reel con texto animado estilo 'thoughts at 3am'. Música lofi. Final con logo Nivva + tagline 'Tus números, fácil y simple'."
4,2026-05-30,Viernes,Mayo 2026,Recap y CTA,Resumen de features / cierre de mes,Carrusel (4 slides),"Un mes de Nivva: todo lo que podés hacer, gratis","Registrá egresos y cuotas 📋
Seguí tus ingresos 💵
Controlá tus inversiones 📈
Recibí recordatorios de vencimientos 🔔
Exportá e importá tus datos 💾
Todo sin que nada salga de tu dispositivo 🔐

Gratis. Sin cuenta. Sin suscripción.

Empezá hoy → link en bio","#Nivva #finanzaspersonales #app #gratis #Argentina #controlfinanciero #balance","Probala gratis → link en bio","Ana / Facundo / Claudia","Carrusel resumen: cada slide con una feature. Diseño tipo checklist. Último slide: logo Nivva + tagline + link en bio."
